Group,Subject,block1_bin1,block1_bin2,block1_bin3,block1_bin4,block1_bin5,block2_bin1,block2_bin2,block2_bin3,block2_bin4,block2_bin5,block3_bin1,block3_bin2,block3_bin3,block3_bin4,block3_bin5,block4_bin1,block4_bin2,block4_bin3,block4_bin4,block4_bin5,block5_bin1,block5_bin2,block5_bin3,block5_bin4,block5_bin5,block6_bin1,block6_bin2,block6_bin3,block6_bin4,block6_bin5,block7_bin1,block7_bin2,block7_bin3,block7_bin4,block7_bin5,block8_bin1,block8_bin2,block8_bin3,block8_bin4,block8_bin5,block9_bin1,block9_bin2,block9_bin3,block9_bin4,block9_bin5,block10_bin1,block10_bin2,block10_bin3,block10_bin4,block10_bin5,block11_bin1,block11_bin2,block11_bin3,block11_bin4,block11_bin5,block12_bin1,block12_bin2,block12_bin3,block12_bin4,block12_bin5,block13_bin1,block13_bin2,block13_bin3,block13_bin4,block13_bin5,block14_bin1,block14_bin2,block14_bin3,block14_bin4,block14_bin5,block15_bin1,block15_bin2,block15_bin3,block15_bin4,block15_bin5,block16_bin1,block16_bin2,block16_bin3,block16_bin4,block16_bin5,block17_bin1,block17_bin2,block17_bin3,block17_bin4,block17_bin5,block18_bin1,block18_bin2,block18_bin3,block18_bin4,block18_bin5,block19_bin1,block19_bin2,block19_bin3,block19_bin4,block19_bin5,block20_bin1,block20_bin2,block20_bin3,block20_bin4,block20_bin5,block2_offline,block3_offline,block4_offline,block5_offline,block6_offline,block7_offline,block8_offline,block9_offline,block10_offline,block11_offline,block12_offline,block13_offline,block14_offline,block15_offline,block16_offline,block17_offline,block18_offline,block19_offline,block20_offline,block1_online,block2_online,block3_online,block4_online,block5_online,block6_online,block7_online,block8_online,block9_online,block10_online,block11_online,block12_online,block13_online,block14_online,block15_online,block16_online,block17_online,block18_online,block19_online,block20_online,offline_GS,online_GS,is_learn_offline,is_learn_online
0,5,584.6363636363636,535.0833333333334,535.8666666666667,505.0833333333333,489.7692307692308,518.3,534.9333333333333,523.2,466.4,500.1666666666667,446.54545454545456,484.7,448.14285714285717,493.4166666666667,520.0,417.61538461538464,525.9166666666666,468.5833333333333,494.7692307692308,480.25,440.53846153846155,431.75,458.61538461538464,520.7,542.0833333333334,516.5,495.46153846153845,472.46153846153845,548.0833333333334,479.75,447.09090909090907,450.1333333333333,491.38461538461536,473.61538461538464,498.38461538461536,473.0,491.61538461538464,418.45454545454544,549.3636363636364,456.8333333333333,408.8,466.8,514.4545454545455,505.2307692307692,489.57142857142856,424.8,430.8666666666667,469.6666666666667,447.0769230769231,524.0,417.5833333333333,432.2307692307692,454.4,493.5833333333333,460.3076923076923,410.4,459.25,489.46153846153845,481.9166666666667,445.8181818181818,396.54545454545456,409.6666666666667,441.64285714285717,465.27272727272725,494.75,431.84615384615387,432.6666666666667,426.4166666666667,507.7857142857143,446.375,517.2857142857143,514.3846153846154,487.42857142857144,470.2,502.5,424.84615384615387,459.09090909090907,474.09090909090907,489.5,413.6666666666667,424.0,440.0,418.2142857142857,419.7692307692308,416.84615384615387,405.3333333333333,407.0769230769231,448.8181818181818,500.15384615384613,465.55555555555554,439.3076923076923,437.625,409.25,479.6666666666667,503.38461538461536,443.0833333333333,449.2307692307692,443.42857142857144,521.2222222222222,415.1,28.53076923076918,-53.621212121212125,-102.38461538461536,-39.71153846153845,-25.58333333333337,-32.659090909090935,-25.38461538461536,-48.0333333333333,-64.77142857142854,-106.41666666666669,-49.90769230769234,-49.27272727272725,-62.90384615384613,70.91071428571433,-77.65384615384613,10.333333333333314,-11.512820512820554,-26.247863247863222,-60.301282051282044,-94.86713286713285,-18.13333333333327,73.45454545454544,62.63461538461536,101.54487179487182,-36.75,51.29370629370629,-16.166666666666686,80.77142857142854,99.19999999999999,42.724358974359006,35.418181818181836,98.20454545454544,14.528846153846132,-14.785714285714334,-11.179487179487182,-7.153846153846132,60.22222222222223,64.07692307692304,-27.98333333333329,-38.24163657979448,27.852736568986565,1,0
0,7,449.1818181818182,428.9166666666667,391.61538461538464,361.2,359.7692307692308,385.0769230769231,402.0769230769231,462.85714285714283,467.6923076923077,507.2142857142857,425.1818181818182,381.1818181818182,508.7857142857143,511.8,517.4615384615385,442.90909090909093,543.0,544.4545454545455,484.9166666666667,487.0,541.0,445.92857142857144,414.7857142857143,388.7692307692308,428.3333333333333,362.14285714285717,356.61538461538464,379.5833333333333,350.5,480.6666666666667,530.9090909090909,579.6153846153846,372.92857142857144,490.45454545454544,370.2307692307692,397.9230769230769,439.2857142857143,383.9166666666667,441.61538461538464,404.7857142857143,454.53846153846155,471.9230769230769,476.2857142857143,501.35714285714283,424.5,453.46153846153845,399.625,399.90909090909093,478.7692307692308,400.7692307692308,469.3076923076923,583.9,440.6,382.7142857142857,484.84615384615387,603.2222222222222,537.0,363.8333333333333,408.75,413.3333333333333,477.6923076923077,442.46666666666664,486.2,474.9,464.7142857142857,527.9090909090909,544.6923076923077,566.6666666666666,562.75,388.4166666666667,508.8181818181818,498.14285714285717,509.26666666666665,428.1666666666667,364.22222222222223,531.8333333333334,512.6,456.27272727272725,514.6153846153846,528.7,509.54545454545456,491.3076923076923,472.125,496.93333333333334,517.5384615384615,473.1666666666667,473.0,548.8571428571429,491.0833333333333,445.44444444444446,373.53846153846155,424.38461538461536,457.1333333333333,534.1428571428571,482.38461538461536,402.1666666666667,538.5384615384615,465.9166666666667,501.38461538461536,546.3571428571429,25.30769230769232,-82.03246753246754,-74.55244755244752,54.0,-66.19047619047615,50.24242424242419,27.69230769230768,49.75274725274727,28.961538461538453,68.53846153846155,118.3760683760683,64.35897435897436,63.194805194805156,120.40151515151513,167.61111111111114,-19.154545454545485,-44.37179487179486,-71.90598290598291,-80.21794871794867,-89.41258741258741,122.13736263736263,92.27972027972027,44.090909090909065,-112.66666666666669,118.52380952380952,-160.67832167832165,6.862637362637372,-30.038461538461547,-52.69230769230768,15.538461538461547,-189.88888888888886,-12.978021978021957,-139.4924242424242,-144.59595959595958,-3.1333333333333258,7.993006993006986,-27.72222222222223,108.84615384615381,144.1904761904762,21.05326223484118,-15.141832889332884,0,1
0,11,457.0833333333333,427.3076923076923,441.25,439.7857142857143,432.2857142857143,348.8888888888889,385.27272727272725,385.53846153846155,367.84615384615387,356.5833333333333,374.0,412.42857142857144,430.6363636363636,416.6923076923077,405.0,375.09090909090907,387.1666666666667,381.0769230769231,411.0,429.7692307692308,352.9230769230769,373.7,412.8333333333333,390.0833333333333,411.46153846153845,382.0769230769231,419.09090909090907,388.9,387.6,395.5,387.1,394.85714285714283,354.2,431.3,420.4166666666667,431.3333333333333,378.2142857142857,401.27272727272725,387.0,394.6,395.45454545454544,395.7692307692308,356.46666666666664,406.92857142857144,365.8333333333333,426.15384615384613,376.26666666666665,378.27272727272725,378.9,415.3636363636364,366.7,421.2,380.42857142857144,364.8333333333333,366.0833333333333,399.90909090909093,430.0,452.6923076923077,447.2,419.2142857142857,396.3,424.46153846153845,388.2307692307692,414.8,444.90909090909093,344.7142857142857,366.9166666666667,394.42857142857144,413.7857142857143,390.6666666666667,370.9166666666667,392.53846153846155,372.6923076923077,424.8181818181818,415.46153846153845,377.53846153846155,365.3333333333333,380.2307692307692,385.42857142857144,384.2142857142857,394.9166666666667,412.61538461538464,408.73333333333335,435.2,427.84615384615387,351.0769230769231,377.93333333333334,382.07142857142856,354.6666666666667,418.7692307692308,372.57142857142856,402.46153846153845,376.42857142857144,438.7692307692308,418.6923076923077,397.45454545454544,386.61538461538464,416.1666666666667,396.2142857142857,401.0,-83.39682539682536,17.416666666666686,-29.909090909090935,-76.84615384615387,-29.38461538461536,-8.399999999999977,10.916666666666629,0.8545454545454163,60.32051282051282,-48.663636363636385,33.82575757575762,-22.91428571428571,-100.19480519480521,-19.75,-37.923076923076906,10.702380952380963,-76.76923076923077,-46.19780219780222,-21.23776223776224,-24.797619047619037,7.6944444444444,31.0,54.67832167832171,58.53846153846155,13.423076923076906,33.31666666666666,-36.73333333333329,-29.621212121212125,-10.790209790209758,-0.6166666666666742,19.305194805194787,48.609090909090924,45.95238095238096,44.54487179487177,6.675824175824175,32.92948717948718,67.69230769230768,46.120879120879124,3.545454545454561,-24.607934463197623,20.573371073371074,1,0
0,12,482.6666666666667,512.8181818181819,513.6666666666666,492.45454545454544,429.1,474.75,503.90909090909093,410.26666666666665,459.90909090909093,473.0,439.44444444444446,497.92857142857144,538.2857142857143,503.5833333333333,554.9285714285714,436.5,459.5,484.27272727272725,539.3076923076923,494.27272727272725,403.0833333333333,471.61538461538464,455.7692307692308,454.72727272727275,483.7,452.8181818181818,450.5625,468.1666666666667,456.1818181818182,511.7142857142857,446.90909090909093,443.0,473.53846153846155,540.0909090909091,532.4444444444445,447.42857142857144,478.6923076923077,529.1538461538462,413.5833333333333,527.8333333333334,469.25,523.4615384615385,474.57142857142856,482.38461538461536,538.3636363636364,392.45454545454544,449.0769230769231,464.6666666666667,465.14285714285717,483.0,351.4166666666667,449.3636363636364,450.90909090909093,461.3076923076923,490.4,354.6,403.46153846153845,425.8333333333333,471.5,420.53333333333336,356.55555555555554,393.6363636363636,443.2307692307692,439.38461538461536,498.45454545454544,342.75,398.1818181818182,433.42857142857144,439.25,458.3076923076923,364.75,373.42857142857144,406.25,396.7142857142857,388.64285714285717,352.3,371.0,413.5,326.6666666666667,359.0,382.8181818181818,393.6666666666667,416.7857142857143,388.84615384615387,401.61538461538464,358.9,389.09090909090907,430.8,443.45454545454544,463.5,363.6363636363636,381.2307692307692,390.44444444444446,417.7692307692308,453.3636363636364,346.3333333333333,387.75,415.0,459.5,385.5,45.64999999999998,-33.55555555555554,-118.42857142857144,-91.18939393939394,-30.881818181818176,-64.80519480519479,-85.01587301587301,-58.58333333333337,-145.90909090909093,-131.58333333333331,-135.79999999999995,-63.97777777777782,-155.70454545454544,-93.55769230769232,-36.342857142857156,23.818181818181813,-42.715384615384664,-99.86363636363637,-107.03030303030306,-53.56666666666666,-1.75,115.48412698412699,57.77272727272725,80.61666666666667,58.89610389610391,85.53535353535352,80.40476190476193,69.11363636363637,90.54545454545456,138.9833333333333,65.93333333333334,141.8989898989899,115.55769230769232,23.892857142857167,6.699999999999989,18.79720279720283,104.60000000000002,89.72727272727275,39.166666666666686,-75.0250620724305,66.41547563547564,1,0
0,31,470.72727272727275,506.4,530.5833333333334,516.8,476.2307692307692,449.27272727272725,508.4375,522.0714285714286,525.2307692307693,453.2,455.5833333333333,486.25,450.0833333333333,487.84615384615387,479.9166666666667,449.54545454545456,441.15384615384613,520.3,506.26666666666665,454.7692307692308,413.0,432.38461538461536,477.0769230769231,442.875,487.5,460.57142857142856,438.4166666666667,463.45454545454544,488.7857142857143,489.4166666666667,435.6923076923077,488.42857142857144,496.6875,477.72727272727275,458.84615384615387,407.72727272727275,470.6363636363636,444.2142857142857,481.7692307692308,530.875,411.3333333333333,454.07142857142856,445.84615384615387,439.35714285714283,473.7692307692308,401.55555555555554,435.64285714285717,465.0,458.5833333333333,454.06666666666666,379.4166666666667,407.75,447.0,459.0833333333333,458.1666666666667,416.5,391.2307692307692,437.84615384615387,431.61538461538464,455.5,411.7692307692308,427.6666666666667,422.64285714285717,403.3333333333333,447.46666666666664,423.77777777777777,450.2142857142857,443.5,456.27272727272725,454.6,383.1666666666667,412.84615384615387,446.42857142857144,479.90909090909093,462.4,375.8333333333333,404.57142857142856,408.0,452.7,462.72727272727275,403.0,394.3333333333333,429.75,470.46666666666664,471.45454545454544,375.0769230769231,406.57142857142856,405.1666666666667,416.0833333333333,448.3333333333333,370.4,399.15384615384613,411.0,419.93333333333334,407.53333333333336,400.6666666666667,415.26666666666665,441.42857142857144,426.3333333333333,424.09090909090907,-26.958041958041974,2.3833333333333258,-30.371212121212125,-41.769230769230774,-26.928571428571445,-53.724358974359006,-51.11888111888112,-119.54166666666669,-72.21367521367523,-74.64999999999998,-41.666666666666686,-43.730769230769226,-23.68888888888887,-71.43333333333334,-86.56666666666666,-59.72727272727275,-96.37762237762234,-77.93333333333334,-6.866666666666674,5.5034965034964785,3.9272727272727366,24.33333333333337,5.223776223776213,74.5,28.84523809523813,23.15384615384619,123.14772727272725,62.43589743589746,52.51111111111112,78.75,39.0,35.69743589743587,30.82222222222225,79.23333333333329,86.89393939393943,68.45454545454544,73.25641025641022,37.13333333333338,23.42424242424238,-52.783343410975,47.81235805860807,1,0
0,32,673.7777777777778,669.7272727272727,719.9230769230769,654.2307692307693,658.9166666666666,526.5384615384615,556.0714285714286,591.3333333333334,624.7333333333333,617.9285714285714,567.0909090909091,549.8666666666667,584.3333333333334,563.5384615384615,593.5,515.5,560.7692307692307,594.0,549.8461538461538,629.3076923076923,559.9,584.4,608.3333333333334,642.8,572.0,535.1538461538462,554.0,555.0769230769231,590.5714285714286,563.5384615384615,604.5,548.2142857142857,591.4166666666666,606.8333333333334,623.0769230769231,580.1538461538462,544.4615384615385,576.7692307692307,598.4615384615385,575.6666666666666,587.0,572.2,568.0,583.0,524.6363636363636,588.25,568.2,596.4285714285714,643.8571428571429,589.1,543.3846153846154,520.3333333333334,526.25,556.5,511.84615384615387,572.3076923076923,524.4285714285714,468.38461538461536,595.7692307692307,582.7857142857143,484.5,527.5454545454545,558.0833333333334,545.1666666666666,507.7142857142857,463.8333333333333,496.7692307692308,511.2307692307692,502.9166666666667,534.5384615384615,509.6,555.3076923076923,484.8666666666667,483.9230769230769,434.84615384615387,421.54545454545456,464.6666666666667,476.9166666666667,506.0,489.84615384615387,502.15384615384613,518.0769230769231,508.14285714285717,506.35714285714283,497.7142857142857,446.15384615384613,444.84615384615387,414.2142857142857,429.14285714285717,463.54545454545456,499.15384615384613,445.1666666666667,433.2307692307692,447.3636363636364,505.54545454545456,496.22222222222223,461.38461538461536,407.7142857142857,478.2307692307692,489.0833333333333,-132.37820512820508,-50.83766233766232,-78.0,-69.40769230769229,-36.84615384615381,40.96153846153845,-42.923076923076906,11.333333333333371,63.613636363636374,-45.715384615384664,60.461538461538396,-98.28571428571433,-43.88095238095241,-24.938461538461524,-13.300699300699307,12.307692307692264,-51.56043956043959,35.60839160839157,-9.323232323232332,-14.8611111111112,91.3901098901099,26.409090909090878,113.80769230769226,12.100000000000023,28.38461538461536,18.576923076923094,-4.48717948717956,-62.363636363636374,0.8500000000000227,-31.53846153846149,10.47802197802207,23.214285714285722,70.70512820512823,-74.75384615384615,68.3006993006993,-4.43956043956041,17.39160839160843,6.391608391608429,-7.138888888888914,-24.900607579554954,14.420854978354981,1,0
0,33,496.1,453.53846153846155,471.15384615384613,447.73333333333335,488.0833333333333,428.3636363636364,440.8666666666667,449.85714285714283,436.42857142857144,470.92857142857144,405.54545454545456,401.6923076923077,445.2142857142857,427.26666666666665,457.72727272727275,423.07142857142856,419.6923076923077,428.0,437.0,448.2307692307692,386.3333333333333,467.8666666666667,437.0,463.93333333333334,432.46666666666664,380.64285714285717,399.2,394.72727272727275,375.9230769230769,404.7142857142857,443.5,425.15384615384613,431.3125,435.72727272727275,404.8,375.6923076923077,390.42857142857144,461.4166666666667,379.0,395.0,428.0,413.7,399.6363636363636,400.64285714285717,402.1818181818182,428.1666666666667,406.85714285714283,397.45454545454544,412.84615384615387,413.2142857142857,379.53846153846155,420.53846153846155,427.7142857142857,385.07142857142856,379.9230769230769,380.3,407.0833333333333,420.7857142857143,361.0,411.84615384615387,403.0,390.93333333333334,410.1818181818182,377.09090909090907,419.0769230769231,372.9166666666667,379.4,417.6,437.6,399.3333333333333,370.8181818181818,357.6923076923077,391.2307692307692,370.9166666666667,398.44444444444446,390.15384615384613,372.1333333333333,381.5,381.7,453.3636363636364,385.9,371.06666666666666,370.53846153846155,372.8666666666667,368.9230769230769,396.57142857142856,354.3125,363.5833333333333,386.3076923076923,413.3333333333333,383.1818181818182,371.38461538461536,394.3333333333333,400.15384615384613,396.7692307692308,355.3636363636364,387.3076923076923,437.3076923076923,429.06666666666666,405.46153846153845,-59.71969696969694,-65.38311688311688,-34.65584415584419,-61.89743589743591,-51.82380952380947,38.78571428571428,-29.107692307692332,33.0,25.9848484848485,-33.675824175824175,0.3769230769231058,-8.846153846153868,-46.16025641025641,-28.5151515151515,-8.290598290598325,-67.4636363636364,27.64835164835165,-30.151515151515127,-41.4055944055944,-8.016666666666708,42.56493506493507,52.18181818181819,25.15934065934067,46.133333333333326,24.071428571428555,-38.69999999999999,19.30769230769232,-25.818181818181813,-14.952380952380963,0.3846153846153584,31.546153846153857,16.076923076923094,26.41666666666663,27.626262626262644,63.20979020979024,-16.97692307692307,16.76190476190476,13.587412587412587,50.09790209790208,-23.226341494762547,17.533101343101343,1,0
0,36,904.4545454545455,915.8181818181819,1130.375,973.5384615384615,996.6666666666666,725.25,698.4,1232.25,1084.2857142857142,1066.2727272727273,726.6666666666666,864.7272727272727,869.0,1059.3,911.3333333333334,808.1666666666666,951.1428571428571,1174.0714285714287,1214.857142857143,1007.8125,651.1111111111111,956.3571428571429,731.1111111111111,947.0,824.1666666666666,937.8,1005.5,1087.9166666666667,1263.090909090909,1131.3333333333333,719.0,788.0769230769231,869.3076923076923,903.1538461538462,1022.5454545454545,697.1,697.75,717.4,853.3,813.6666666666666,826.0909090909091,941.8461538461538,675.7272727272727,1072.3846153846155,883.7692307692307,687.0,938.7692307692307,799.2142857142857,921.0,954.5,674.0,621.7,888.75,551.5,685.75,580.7272727272727,641.4,988.0,1189.4615384615386,1127.9,548.0,574.9090909090909,1128.6923076923076,1234.6153846153845,745.3,583.5454545454545,941.0,1124.375,971.5833333333334,1347.4,598.7,482.77777777777777,714.0769230769231,508.8,571.6666666666666,498.375,575.3,645.3333333333334,494.0,797.6666666666666,542.9090909090909,435.2,813.5714285714286,703.8333333333334,594.5384615384615,508.8888888888889,702.1818181818181,704.1666666666666,543.4615384615385,626.8571428571429,476.1,523.3571428571429,502.0,657.0,680.4444444444445,695.4166666666666,594.5454545454545,822.8,692.6,959.2727272727273,-271.41666666666663,-339.6060606060606,-103.16666666666674,-356.7013888888889,113.63333333333333,-412.33333333333326,-325.4454545454545,12.424242424242493,-196.76923076923072,-280.5,-105.02272727272725,-579.9000000000001,-161.75454545454545,-748.7,-73.29166666666663,-254.75757575757575,-85.64957264957263,-150.75714285714287,14.972222222222172,92.21212121212113,341.02272727272725,184.66666666666674,199.64583333333337,173.05555555555554,193.5333333333333,303.5454545454545,116.5666666666666,57.678321678321595,267.5,11.75,547.1727272727273,197.29999999999995,763.8545454545456,-27.033333333333417,299.29166666666663,51.62937062937067,117.96825396825398,204.34444444444443,263.8560606060606,-226.565380744986,217.97802079864582,1,0
0,37,613.8,630.0909090909091,574.2727272727273,516.9230769230769,516.7,461.9166666666667,471.9166666666667,505.0,527.4,471.0,456.9166666666667,491.9375,525.5833333333334,499.4166666666667,543.9090909090909,480.6923076923077,517.6153846153846,468.2307692307692,484.2142857142857,436.35714285714283,422.77777777777777,408.6923076923077,469.93333333333334,434.8,443.77777777777777,451.4166666666667,480.5833333333333,488.26666666666665,466.2,494.46153846153845,409.6363636363636,471.7692307692308,514.3846153846154,447.0,519.5333333333333,429.9166666666667,511.7692307692308,532.7272727272727,548.0833333333334,515.7333333333333,415.0833333333333,487.53846153846155,475.53846153846155,514.3333333333334,472.0,435.5,440.25,498.6666666666667,487.6666666666667,484.8333333333333,401.8181818181818,413.5833333333333,463.3333333333333,450.84615384615387,420.2307692307692,434.0,390.75,447.2857142857143,425.8333333333333,447.8333333333333,389.6923076923077,412.0833333333333,413.7142857142857,408.1666666666667,463.38461538461536,357.4166666666667,395.3076923076923,381.6666666666667,410.0833333333333,398.25,389.1111111111111,403.3076923076923,409.92857142857144,398.57142857142856,431.7692307692308,370.3333333333333,375.1818181818182,389.8333333333333,414.75,413.0769230769231,352.6923076923077,333.85714285714283,366.5,415.1,428.27272727272725,406.25,420.3,393.15384615384613,400.07142857142856,383.6666666666667,410.0833333333333,401.0833333333333,437.09090909090907,460.0833333333333,412.8333333333333,354.0,393.0,381.6666666666667,404.7142857142857,389.0769230769231,-54.78333333333336,-14.083333333333314,-63.2167832167832,-13.579365079365061,7.638888888888914,-84.82517482517483,-89.61666666666662,-100.65000000000003,-36.5,-83.0151515151515,13.769230769230774,-58.141025641025635,-105.96794871794867,-9.138888888888914,-61.43589743589746,-60.384615384615415,-22.022727272727252,26.41666666666663,-58.833333333333314,-97.09999999999991,9.083333333333314,86.99242424242419,-44.335164835164846,21.0,43.04487179487177,109.89696969696968,85.81666666666666,56.916666666666686,49.333333333333314,18.412587412587413,13.833333333333314,73.69230769230768,40.833333333333314,42.65811965811969,42.74358974358978,75.58041958041957,-22.583333333333314,2.75,35.076923076923094,-45.70365570102413,32.18231906981907,1,0
0,50,1004.7272727272727,924.6153846153846,890.3076923076923,901.6923076923077,900.0,756.8,784.1666666666666,903.375,939.9230769230769,870.7692307692307,888.0,818.0769230769231,931.7142857142857,920.0769230769231,871.1428571428571,897.4166666666666,835.6428571428571,772.4166666666666,848.3076923076923,878.6363636363636,853.2727272727273,887.7692307692307,909.0769230769231,840.7692307692307,833.4166666666666,889.9285714285714,842.6923076923077,955.7857142857143,756.3333333333334,786.2307692307693,820.4615384615385,901.5454545454545,991.1538461538462,870.0666666666667,931.2307692307693,684.3636363636364,919.0,955.8571428571429,831.5384615384615,928.5714285714286,732.5384615384615,753.3076923076923,781.3076923076923,778.0,797.9285714285714,846.6666666666666,746.6923076923077,906.7692307692307,893.0714285714286,832.5555555555555,717.6666666666666,852.2142857142857,882.5454545454545,766.8333333333334,913.3333333333334,765.3333333333334,754.0,767.9230769230769,774.7,844.0769230769231,717.9166666666666,786.7142857142857,804.5,972.5384615384615,815.8333333333334,779.6428571428571,745.4166666666666,781.8666666666667,800.0,806.9230769230769,788.9090909090909,753.8,774.7692307692307,686.9333333333333,802.2857142857143,769.5555555555555,819.7692307692307,785.0,729.3076923076923,839.9230769230769,865.0,767.5384615384615,829.0,786.4,877.8,788.6363636363636,839.8333333333334,812.9333333333333,869.4166666666666,814.625,761.5,817.5,877.3571428571429,841.3333333333334,872.8461538461538,781.3636363636364,773.4666666666667,820.6,784.1666666666666,832.0769230769231,-143.20000000000005,17.230769230769283,26.27380952380952,-25.363636363636374,56.511904761904816,34.23076923076917,-246.8671328671329,-196.032967032967,48.738095238095184,-114.88888888888891,-148.0,-126.16025641025647,-36.19047619047626,-18.013986013986028,-32.73015873015879,25.076923076923094,-89.16363636363633,-53.125,-91.48251748251744,-104.72727272727275,113.96923076923076,-16.85714285714289,-18.780303030303003,-19.856060606060623,-103.69780219780216,110.76923076923083,244.20779220779218,65.3901098901099,-14.111111111111086,195.66666666666674,78.74358974358972,97.91666666666674,27.280219780219795,13.376623376623456,70.36752136752136,12.799999999999955,25.988636363636374,111.34615384615381,50.71328671328672,-58.587178172704505,47.02530178155179,1,0
