Group,Subject,e1_H,e1_L,e2_H,e2_L,e3_H,e3_L,e4_H,e4_L,e1_SL,e2_SL,e3_SL,e4_SL
0,1,351.5,366.0,353.5,346.0,338.0,347.0,336.0,344.5,14.5,-7.5,9.0,8.5
0,3,320.0,316.0,321.0,337.0,320.0,326.5,318.5,318.0,-4.0,16.0,6.5,-0.5
0,4,353.5,355.0,337.0,330.0,333.0,339.5,312.0,322.0,1.5,-7.0,6.5,10.0
0,5,388.0,410.5,342.5,358.0,320.0,333.0,326.0,341.0,22.5,15.5,13.0,15.0
0,6,352.5,341.0,364.5,364.0,348.0,343.5,339.0,342.5,-11.5,-0.5,-4.5,3.5
0,8,309.0,312.0,314.0,308.0,310.0,315.5,314.5,322.0,3.0,-6.0,5.5,7.5
0,9,276.0,272.5,273.0,277.0,265.5,284.0,272.0,278.5,-3.5,4.0,18.5,6.5
0,10,345.0,359.0,343.0,352.5,325.0,335.0,309.0,328.0,14.0,9.5,10.0,19.0
0,11,462.0,475.5,426.0,445.0,461.5,463.0,402.0,426.0,13.5,19.0,1.5,24.0
0,12,358.5,365.0,360.0,371.0,343.0,356.5,337.0,356.0,6.5,11.0,13.5,19.0
0,13,323.0,336.5,319.0,335.0,316.0,327.0,320.0,322.0,13.5,16.0,11.0,2.0
0,14,410.0,421.0,406.0,386.0,377.0,360.5,375.0,387.0,11.0,-20.0,-16.5,12.0
0,15,394.0,392.5,381.0,378.0,374.0,391.0,381.0,378.0,-1.5,-3.0,17.0,-3.0
0,16,398.0,406.0,413.0,426.0,383.0,387.5,383.0,406.0,8.0,13.0,4.5,23.0
0,17,344.0,336.0,345.0,355.0,341.0,357.0,334.5,342.0,-8.0,10.0,16.0,7.5
0,18,451.0,457.0,385.0,385.0,371.0,378.0,364.0,375.5,6.0,0.0,7.0,11.5
0,19,339.0,340.0,322.0,330.0,295.0,312.0,295.0,314.0,1.0,8.0,17.0,19.0
0,21,359.5,375.5,353.0,358.0,346.0,350.0,342.0,339.0,16.0,5.0,4.0,-3.0
0,22,416.0,424.0,395.0,429.0,394.0,407.5,398.0,413.0,8.0,34.0,13.5,15.0
0,23,413.0,431.5,437.0,444.0,404.0,406.0,375.0,408.0,18.5,7.0,2.0,33.0
1,101,312.0,310.0,310.0,317.0,328.0,319.0,317.0,315.5,-2.0,7.0,-9.0,-1.5
1,102,321.0,328.5,314.5,338.0,307.0,321.5,309.0,314.5,7.5,23.5,14.5,5.5
1,103,396.0,419.0,366.0,374.5,328.0,357.5,328.0,342.0,23.0,8.5,29.5,14.0
1,104,570.0,516.5,481.0,510.0,473.0,514.5,478.5,485.5,-53.5,29.0,41.5,7.0
1,105,388.0,380.0,381.0,387.0,365.0,371.0,377.5,393.5,-8.0,6.0,6.0,16.0
1,106,310.0,319.0,317.0,342.0,318.5,331.0,301.0,317.0,9.0,25.0,12.5,16.0
1,107,378.0,373.0,381.0,388.0,371.0,366.0,362.0,360.0,-5.0,7.0,-5.0,-2.0
1,108,342.0,343.0,336.0,343.0,343.0,351.5,333.0,342.5,1.0,7.0,8.5,9.5
1,109,428.5,427.0,404.0,402.0,404.0,397.0,386.5,405.0,-1.5,-2.0,-7.0,18.5
1,110,421.0,414.5,391.0,404.5,379.5,397.0,368.0,370.0,-6.5,13.5,17.5,2.0
1,111,369.0,392.0,355.0,335.0,339.0,357.0,337.0,333.0,23.0,-20.0,18.0,-4.0
1,112,341.0,353.5,337.0,357.5,335.0,361.0,335.0,353.5,12.5,20.5,26.0,18.5
1,113,393.5,415.0,387.5,384.0,354.0,372.5,346.0,354.0,21.5,-3.5,18.5,8.0
1,114,328.0,332.0,331.0,337.0,348.5,357.5,322.0,329.0,4.0,6.0,9.0,7.0
1,115,442.0,423.0,401.0,408.0,415.0,417.5,441.5,415.5,-19.0,7.0,2.5,-26.0
1,116,364.0,375.0,356.0,370.0,366.5,370.0,363.0,350.0,11.0,14.0,3.5,-13.0
1,117,452.0,434.0,465.0,452.0,434.0,466.0,433.0,422.0,-18.0,-13.0,32.0,-11.0
1,118,343.0,344.0,326.0,347.5,321.0,322.5,313.0,330.0,1.0,21.5,1.5,17.0
1,119,373.5,399.0,373.5,382.0,376.0,401.0,373.0,403.0,25.5,8.5,25.0,30.0
1,120,318.5,314.0,312.0,314.5,297.0,304.5,302.0,308.0,-4.5,2.5,7.5,6.0
1,121,349.0,340.0,343.5,340.0,348.5,352.0,329.0,351.0,-9.0,-3.5,3.5,22.0
1,122,407.0,424.5,374.0,394.0,386.0,390.0,361.5,374.0,17.5,20.0,4.0,12.5
